Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
A pendulum of length 2.0 m is released from a small angle. Which factor will determine its period of oscillation?,D,The constant net force acting on the pendulum,False,PH248,The maximum displacement from equilibrium,False,PH249,The amplitude of the swing,False,PH247,The length of the pendulum,True,,"The period of a small-angle pendulum is given by T = 2π√(L/g), which depends only on the length L and gravity g, not amplitude or force magnitude."
A 0.50 kg mass on a spring oscillates with a period of 1.2 s. What will happen to the period if the amplitude is doubled?,C,It will increase slightly due to greater displacement,False,PH247,It will halve,False,PH247,It will remain the same,True,,It will double,False,PH247,"For ideal SHM, T = 2π√(m/k), so period is independent of amplitude."
"In ideal simple harmonic motion, when is the acceleration of the mass greatest?",D,Acceleration is constant throughout,False,PH250,At the equilibrium position,False,PH250,Halfway between equilibrium and maximum displacement,False,PH250,At maximum displacement from equilibrium,True,,"In SHM, a = -(k/m)x, so acceleration magnitude is greatest at maximum |x| and zero at equilibrium."
A mass-spring system oscillates in SHM. What type of force provides the restoring effect?,B,A constant net force,False,PH248,A force proportional to displacement from equilibrium,True,,A force that only acts at the endpoints,False,PH249,A force unrelated to displacement,False,PH248,"SHM requires a restoring force proportional to displacement (F = -kx), not a constant or position-independent force."
"When an object in SHM passes through the equilibrium position, what will happen to its motion?",C,Its acceleration will be maximum,False,PH250,It will reverse direction immediately,False,PH249,It will continue moving due to inertia,True,,It will stop moving,False,PH249,"At equilibrium in SHM, velocity is maximum and acceleration is zero, so the object passes through and continues moving."
Which change will increase the period of a simple pendulum undergoing small oscillations?,D,Stopping it at equilibrium,False,PH249,Increasing the amplitude of oscillation,False,PH247,Applying a constant net downward force,False,PH248,Increasing the length of the pendulum,True,,"T = 2π√(L/g), so increasing L increases the period; amplitude and constant net force do not affect T for small angles."
At what point in SHM is the velocity of the object zero?,B,At equilibrium,False,PH249,At maximum displacement from equilibrium,True,,Velocity is never zero in SHM,False,PH249,Velocity is constant in SHM,False,PH250,"Velocity is zero at maximum displacement where direction reverses; at equilibrium, velocity is maximum."
"For a mass-spring system, how is the restoring force related to displacement?",D,It increases with speed,False,PH248,It acts only when the mass is stationary,False,PH249,It is constant regardless of displacement,False,PH248,Directly proportional,True,,"F = -kx, showing the restoring force is proportional to displacement and opposite in direction."
"If a pendulum is oscillating in ideal SHM, what is true about acceleration at equilibrium?",D,Acceleration depends only on mass,False,PH250,Acceleration is maximum,False,PH250,Acceleration is constant,False,PH250,Acceleration is zero,True,,"In SHM, a = -(k/m)x, so at x = 0, acceleration is zero."
Why does an object in SHM continue moving past the equilibrium point?,B,It stops due to no net force,False,PH249,It has maximum kinetic energy at equilibrium,True,,It has maximum acceleration at equilibrium,False,PH250,It is pushed by a constant net force,False,PH248,"Kinetic energy is maximum and acceleration zero at equilibrium, so the object moves through due to inertia."
Which statement correctly describes the relationship between frequency and period in SHM?,A,They are reciprocals of each other,True,,They are unrelated,False,PH253,They are equal,False,PH253,They change independently,False,PH253,Frequency f and period T are related by f = 1/T; they are inversely proportional.
"For a mass-spring system, what happens to the frequency if the mass is increased?",B,It increases,False,PH254,It decreases,True,,It stays the same regardless of mass,False,PH254,It oscillates randomly,False,PH254,"f = (1/2π)√(k/m), so increasing m decreases frequency."
How does amplitude affect the frequency of ideal SHM?,C,Larger amplitude increases frequency,False,PH255,Larger amplitude decreases frequency,False,PH255,It does not affect frequency,True,,Amplitude changes frequency only in pendulums,False,PH255,"In ideal SHM, frequency depends on system parameters like k and m, not amplitude."
"For a simple pendulum, what affects its frequency?",D,Mass of the pendulum bob,False,PH256,Amplitude of swing,False,PH255,Type of string,False,PH256,Length of the pendulum,True,,"For small oscillations, frequency depends on length and gravity only, not mass or string type."
"If a pendulum length is doubled, what happens to its frequency?",A,It decreases,True,,It increases,False,PH257,It stays the same,False,PH253,It doubles,False,PH257,"f = (1/2π)√(g/L), so increasing L decreases frequency."
"If the mass on a spring is halved, what happens to its frequency?",B,It decreases,False,PH254,It increases,True,,It stays constant,False,PH254,It depends only on amplitude,False,PH255,"f = (1/2π)√(k/m), so reducing m increases frequency."
"If the period of a pendulum is 2 s, what is its frequency?",C,2 Hz,False,PH253,0.25 Hz,False,PH253,0.5 Hz,True,,4 Hz,False,PH253,f = 1/T = 1/2 s = 0.5 Hz.
"For two pendulums of equal length but different masses, how will their frequencies compare?",D,The heavier one swings slower,False,PH256,The heavier one swings faster,False,PH256,It depends on amplitude,False,PH255,They will be the same,True,,"For small oscillations, frequency is independent of mass."
"If a pendulum's length is shortened, what happens to its frequency?",A,It increases,True,,It decreases,False,PH257,It remains constant,False,PH253,It depends on bob mass,False,PH256,Shorter length means higher frequency: f = (1/2π)√(g/L).
"If the amplitude of a mass-spring system is doubled, what happens to its period?",B,It doubles,False,PH255,It remains the same,True,,It halves,False,PH255,It increases slightly,False,PH255,"For ideal SHM, period T is independent of amplitude."
"In SHM, when displacement is maximum, what is velocity?",A,Zero,True,,Maximum,False,PH261,Constant,False,PH260,Increasing,False,PH260,Velocity is zero at maximum displacement because the object changes direction.
When is velocity maximum in SHM?,B,At maximum displacement,False,PH261,At the equilibrium position,True,,Velocity is constant,False,PH262,Halfway between extremes,False,PH260,Velocity peaks at equilibrium when all energy is kinetic.
What is true about acceleration in SHM?,C,It is constant,False,PH262,It varies with velocity,False,PH260,It varies with displacement,True,,It is always maximum,False,PH262,"Acceleration a = -(k/m)x, so it depends on displacement."
Which SHM graph shows velocity leading displacement by 90°?,D,Any SHM graphs can be interchanged,False,PH263,They are always in phase,False,PH260,Graphs are identical,False,PH263,A velocity-time graph compared to displacement-time,True,,Velocity and displacement graphs are out of phase by 90° in SHM.
"If acceleration is zero in SHM, what is displacement?",A,Zero,True,,Maximum,False,PH260,Halfway to max,False,PH260,It depends on velocity,False,PH260,Acceleration is zero at equilibrium where displacement is zero.
"When displacement is zero in SHM, what is acceleration?",B,Maximum,False,PH262,Zero,True,,Constant,False,PH262,Half maximum,False,PH260,"At equilibrium, acceleration is zero and velocity is maximum."
"In SHM, how do displacement, velocity, and acceleration reach zero?",C,They are all zero together,False,PH264,Velocity and acceleration are zero together,False,PH264,They do not all reach zero simultaneously,True,,Displacement and acceleration are zero together,False,PH264,Only one quantity is zero at a given instant; they are out of phase.
"When velocity is zero in SHM, acceleration is:",D,Zero,False,PH260,Constant,False,PH262,Half maximum,False,PH260,Maximum,True,,Velocity is zero at extremes where acceleration magnitude is maximum.
What is the phase relationship between acceleration and displacement in SHM?,A,They are in phase,True,,They are out of phase by 90°,False,PH263,They are unrelated,False,PH260,Acceleration leads displacement by 180°,False,PH263,Acceleration and displacement vary together with opposite signs in SHM.
"If displacement is maximum, what is acceleration?",B,Zero,False,PH260,Maximum magnitude,True,,Constant,False,PH262,Half maximum,False,PH260,"At max displacement, restoring force and acceleration are greatest in magnitude."
"In ideal SHM, what happens to total mechanical energy over time?",A,It remains constant,True,,It decreases,False,PH267,It increases,False,PH267,It fluctuates randomly,False,PH267,"In ideal SHM with no damping, total energy is conserved."
"When kinetic energy is maximum in SHM, potential energy is:",B,Maximum,False,PH268,Zero,True,,Equal to kinetic energy,False,PH268,Constant,False,PH271,"At equilibrium, KE is maximum and PE is zero."
How does amplitude affect total energy in SHM?,C,Energy is independent of amplitude,False,PH269,Energy decreases with amplitude,False,PH269,Energy increases with amplitude squared,True,,Amplitude has no effect on energy,False,PH269,"E = ½kA², so energy depends on the square of amplitude."
